"","SEC","COG"
"1","E05014832",1
"2","E05014829",2
"3","E05014825",3
"4","E05014823",4
"5","E05014826",5
"6","E05015010",6
"7","E05014833",7
"8","E05014824",8
"9","E05014834",9
"10","E05014821",10
"11","E05014828",11
"12","E05013069",12
"13","E05014831",13
"14","E05014818",14
"15","E05013030",15
"16","E05014827",16
"17","E05008610",17
"18","E05011381",18
"19","E05014819",19
"20","E05011524",20
"21","E05014835",21
"22","E05014162",22
"23","E05014579",23
"24","E05014576",24
"25","E05014051",25
"26","E05014528",26
"27","E05014045",27
"28","E05012196",28
"29","E05014153",29
"30","E05014163",30
"31","E05011376",31
"32","E05014159",32
"33","E05014820",33
"34","E05014161",34
"35","E05011508",35
"36","E05010463",36
"37","E05014160",37
"38","E05015251",38
"39","E05014551",39
"40","E05014164",40
"41","E05014822",41
"42","E05014036",42
"43","E05011032",43
"44","E05012208",44
"45",NA,45
"46","E05015308",46
"47","E05014836",47
"48","E05013028",48
"49","E05014132",49
"50","E05013033",50
"51","E05014653",51
"52","E05011522",52
"53","E05014830",53
"54","E05013027",54
"55","E05015254",55
"56","E05014993",56
"57","E05014837",57
"58","E05011026",58
"59","E05015003",59
"60","E05015001",60
"61","E05011351",61
"62","E05014996",62
"63","E05013070",63
"64","E05013068",64
"65","E05010231",65
"66","E05015250",66
"67","E05011513",67
"68","E05011356",68
"69","E05013035",69
"70","E05014222",70
"71","E05011361",71
"72","E05014647",72
"73","E05015202",73
"74","E05010897",74
"75","E05015022",75
"76","E05014535",76
"77","E05010226",77
"78","E05015023",78
"79","E05013034",79
"80","E05015031",80
"81","E05013029",81
"82","E05013177",82
"83","E05015323",83
"84","E05014998",84
"85","E05015012",85
"86","E05015009",86
"87","E05014307",87
"88","E05015011",88
"89","E05015283",89
"90","E05015002",90
"91","E05013037",91
"92","E05001368",92
"93","E05011029",93
"94","E05013036",94
"95","E05010220",95
"96","E05014157",96
"97","E05010941",97
"98","E05014126",98
"99","E05011350",99
"100","E05015000",100
"101","E05014941",101
"102","E05013064",102
"103","E05014240",103
"104","E05011134",104
"105","E05014166",105
"106","E05011403",106
"107","E05013032",107
"108","E05013019",108
"109","E05011132",109
"110","E05014936",110
"111","E05001228",111
"112","E05014656",112
"113","E05015004",113
"114","E05014994",114
"115","E05011541",115
"116","E05014999",116
"117","E05013024",117
"118","E05015292",118
"119","E05013076",119
"120","E05013066",120
"121","E05015008",121
"122","E05015018",122
"123","E05014992",123
"124","E05011512",124
"125","E05015239",125
"126","E05010747",126
"127","E05001455",127
